cast,director,genre,opening_date,opening_year,title
"Anil Kapoor, Arjun Kapoor, Ileana D'Cruz, Neha Sharma & Athiya Shetty",Anees Bazmee,"comedy,romance",2017-07-28,2017,Mubarakan
"Akshay Oberoi, Ragini Khanna, Pankaj Tripathi, Aamir Bashir, Shalini Vatsa, Srinivas Sunderrajan",Shanker Raman,neo-noir,2017-08-04,2017,Gurgaon
"Shah Rukh Khan, Anushka Sharma, Evelyn Sharma & Chandan Roy Sanyal",Imtiaz Ali,romance,2017-08-04,2017,Jab Harry Met Sejal
"Akshay Kumar, Bhumi Pednekar, Divyendu Sharma, Anupam Kher, Sana Khan",Shree Narayan Singh,"comedy,drama",2017-08-11,2017,Toilet: Ek Prem Katha
"Hugh Bonneville, Gillian Anderson, Manish Dayal, Huma Qureshi, Michael Gambon",Gurinder Chadha,drama,2017-08-18,2017,Partition: 1947
"Ayushmann Khurrana, Rajkummar Rao, Kriti Sanon",Ashwini Iyer Tiwari,"comedy,romance",2017-08-18,2017,Bareilly Ki Barfi
"Sidharth Malhotra, Jacqueline Fernandez, Darshan Kumar, Suniel Shetty",Raj and D.K.,"action,romance",2017-08-25,2017,A Gentleman
"Nawazuddin Siddiqui, Bidita Bag, Jatin Goswami, Shraddha Das, Anil George, Bhagwan Tiwari, Jeetu Shivhare, Murali Sharma, Divya Dutta, Sachin Chaubey",Kushan Nandy,action,2017-08-25,2017,Babumoshai Bandookbaaz
"Chandrachur Singh, Charu Vyas, Rahul Godara, Jyoti Singh, Vibhu Raghave, Namya Saxena, Nikkitasha Marwaha, Reshaa Sabarawal, Mini Pandit, Ashwarya Singh",Jyoti Singh,drama,2017-08-25,2017,Yadvi – The Dignified Princess
"Aadar Jain, Anya Singh, Sachin, Prince Parvinder Singh",Habib Faisal,"musical,drama",2017-08-25,2017,Qaidi Band
"Khushmeet Gill, Monica Sehgal, Vijay Patkar",Amole Gupte,"comedy,adventure",2017-08-25,2017,Sniff
"Ajay Devgn, Emraan Hashmi, Vidyut Jammwal, Ileana D'Cruz, Esha Gupta, Sanjay Mishra, Sunny Leone Guest appearance in song, Sharad Kelkar, Ravi Kale",Milan Luthria,"action,crime thriller",2017-09-01,2017,Baadshaho
"Ayushmann Khurrana, Bhumi Pednekar, Brijendra Kala, Shubhankar Tripathi, Anshul Chauhan, Anmol Bajaj",R. S. Prasanna,"drama,comedy",2017-09-01,2017,Shubh Mangal Saavdhan
"Sunny Deol, Shreyas Talpade, Bobby Deol, Sonali Kulkarni, Randheer Rai, Dilip Prabhavalkar, Elli AvrRam Special Appearance In A Song, Samiksha Bhatnagar, Bharati Achrekar",Shreyas Talpade,comedy,2017-09-08,2017,Poster Boys
"Arjun Rampal, Aishwarya Rajesh, Nishikant Kamat, Anand Ingale, Rajesh Shringarpure, Purnanand Wandekar, Anupriya Goenka, Shruti Bapna, Usha Naik, Shrikant Yadav, Deepak Damle, Raj Arjun, Vijay Sanap, Abhimanyu Arun",Ashim Ahluwalia,"crime,drama",2017-09-08,2017,Daddy
"Kangana Ranaut, Sohum Shah, Hiten Kumar, Kishori Shahane, Rupinder Nagra",Hansal Mehta,drama,2017-09-15,2017,Simran
"Farhan Akhtar, Diana Penty, Deepak Dobriyal, Gippy Grewal, Ronit Roy, Inaamulhaq, Rajesh Sharma",Ranjit Tiwari,drama,2017-09-15,2017,Lucknow Central
"Rishi Kapoor, Paresh Rawal, Vir Das, Prem Chopra, Payal Ghosh, Jinal Belani, Divya Seth, Bharati Achrekar, Tiku Talsania",Sanjay Chhel,"comedy,drama",2017-09-15,2017,Patel Ki Punjabi Shaadi
"Rajkummar Rao, Pankaj Tripathi, Anjali Patil, Raghuvir Yadav",Amit Masurkar,dark comedy,2017-09-22,2017,Newton
"Sanjay Dutt, Aditi Rao Hydari, Sidhant Gupta",Omung Kumar,"action,drama",2017-09-22,2017,Bhoomi
"Kunaal Roy Kapur, Archana Shastry, Elena Kazan, Reyhna Malhotra, Scarlett Wilson",Dhwanil Mehta,horror,2017-09-22,2017,The Final Exit
"Govind Namdev, Aman Verma, Vedita Pratap Singh, Lalit Bisht, Arvind Gaur",Shailendra Pandey,"drama,thriller",2017-09-22,2017,JD
"Shraddha Kapoor, Sharman Joshi, Siddhanth Kapoor, Rajesh Tailang, Satendra Bagasi, Ankur Bhatia",Apoorva Lakhia,biographic,2017-09-22,2017,Haseena Parkar
"Varun Dhawan, Jacqueline Fernandez, Vikas Verma, Taapsee Pannu, Anupam Kher, Sachin Khedekar, Upasana Singh, Rajpal Yadav, Pavan Malhotra, Ali Asgar, Vivan Bhatena, Johnny Lever, Rajat Rawail, Salman Khan (cameo)",David Dhawan,"action,comedy",2017-09-29,2017,Judwaa 2
"Yuvraj Kumar, Harish Bhimani, Rasheed Naz, Rahul Dev",Yuvraj Kumar,nan,2017-09-29,2017,ISIS: Enemies of Humanity
Barun Sobti & Vishal Malhotra,Milind Dhaimade,romantic comedy,2017-10-06,2017,Tu Hai Mera Sunday
"Arshad Warsi, Aditi Rao Hydari, Amit Sadh",Subhash Kapoor,comedy,2015-07-03,2015,Guddu Rangeela
"Gippy Grewal, Tina Ahuja, Dharmendra",Smeep Kang,drama,2015-07-03,2015,Second Hand Husband
"Sunny Deol, Kangana Ranaut",Radhika Rao,"romance,drama",2015-07-10,2015,I Love NY
"Hiten Tejwani, Sanjay Mishra",Sachin Gupta,"romance,drama",2015-07-10,2015,Thoda Lutf Thoda Ishq
"Salman Khan, Kareena Kapoor, Nawazuddin Siddiqui, Harshaali Malhotra",Kabir Khan,"action, comedy, drama",2015-07-17,2015,Bajrangi Bhaijaan
"Palash Sen, Ira Dubey, Kymsleen Kholie, Yashpal Sharma",Biswajeet Bora,drama,2015-07-24,2015,Aisa Yeh Jahaan
"Richa Chadha, Vicky Kaushal, Sanjay Mishra, Shweta Tripathi",Neeraj Ghaywan,drama,2015-07-24,2015,Masaan
"Ajay Devgn, Tabu, Shriya Saran, Rajat Kapoor",Nishikant Kamat,"drama,thriller",2015-07-31,2015,Drishyam
"Riteish Deshmukh, Pulkit Samrat",Karan Anshuman,comedy,2015-08-07,2015,Bangistan
"Akshay Kumar, Sidharth Malhotra, Jacqueline Fernandez, Jackie Shroff, Conan Stevens",Karan Malhotra,drama,2015-08-14,2015,Brothers
"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee",Ananth Narayan Mahadevan,drama,2015-08-14,2015,Gour Hari Dastaan
"Abhishek Bachchan, Asin Thottumkal, Rishi Kapoor, Supriya Pathak",Umesh Shukla,drama,2015-08-21,2015,All Is Well
"Nawazuddin Siddiqui, Radhika Apte",Ketan Mehta,drama,2015-08-21,2015,Manjhi – The Mountain Man
Saachi Tiwari,Maahi Kaur,drama,2015-08-21,2015,Rolling Dream
"Saurabh Shukla, Radhika Apte, Gulshan Grover",Nila Madhab Panda,"social,drama",2015-08-28,2015,Kaun Kitney Paani Mein
"Saif Ali Khan, Katrina Kaif",Kabir Khan,"action,thriller",2015-08-28,2015,Phantom
"John Abraham, Shruti Hassan, Anil Kapoor, Nana Patekar, Paresh Rawal, Dimple Kapadia",Anees Bazmee,"romance,comedy",2015-09-04,2015,Welcome Back
"Aditya Pancholi, Arun Bakshi, Kishori Shahane",Munnawar Bhagat,romance,2015-09-04,2015,Lakhon Hain Yahan Dilwale
"Sooraj Pancholi, Athiya Shetty, Tigmanshu Dhulia, Aditya Pancholi, Sharad Kelkar",Nikhil Advani,"action,romance",2015-09-11,2015,Hero
"Shamim Khan, Mukesh Tiwari, Tinu Verma",Vijay Pal and Shakur,"action,drama",2015-09-11,2015,Sorry Daddy
"Imran Khan, Kangana Ranaut",Nikhil Advani,"romance,comedy",2015-09-18,2015,Katti Batti
"Jaideep Ahlawat, Aakash Dahiya, Shadab Kamal, Nushrat Bharucha, Ishita Sharma",Zeishan Quadri,"crime,comedy",2015-09-18,2015,Meeruthiya Gangster
"Kapil Sharma, Arbaz Khan, Manjari Phadnis, Simran Kaur Mundi, Elli Avram, Sai Lokur, Varun Sharma, Supriya Pathak",Abbas–Mustan,comedy,2015-09-25,2015,Kis Kisko Pyaar Karoon
"Kunal Khemu, Zoa Morani, Mandana Karimi",Shivam Nair,drama,2015-09-25,2015,Bhaag Johnny
"Akshay Kumar, Amy Jackson",Prabhu Deva,comedy,2015-10-02,2015,Singh Is Bliing
"Kunal Kapoor,Amyra Dastur",Amin Hajee,,2021-04-02,2021,Koi Jaane Na
"Abhishek Bachchan,Ileana D'Cruz,Sohum Shah,Nikita Dutta",Kookie Gulati,,2021-04-08,2021,The Big Bull
"Aadar Jain,Jackie Shroff,Elnaaz Norouzi,Shlokka Pandit",Pankaj Saraswat,,2021-04-09,2021,Hello Charlie
"Ehan Bhat,Edilsy Vargas,Tenzin Dalha,Aditya Seal,Lisa Ray,Manisha Koirala",Vishwesh Krishnamoorthy,,2021-04-16,2021,99 Songs[b]
"Dev Sharma,Smriti Kashyap,Mukul Nag,Rakesh Shrivastav,Sanjeeb Dasgupta",Rajesh Harivansh Mishra,,2021-04-16,2021,Aa Bhi Ja O Piya
"Fatima Sana Shaikh,Jaideep Ahlawat,Nushrratt Bharuccha,Abhishek Banerjee,Inayat Verma,Konkona Sen Sharma,Aditi Rao Hydari,Shefali Shah,Manav Kaul,Tota Roy Chowdhury","Shashank Khaitan,Raj Mehta,Neeraj Ghaywan,Kayoze Irani",,2021-04-16,2021,Ajeeb Daastaans
"Anurag Kashyap,Rituparna Sengupta,Upendra Limaye",Hari Viswanath,,2021-04-16,2021,Bansuri: The Flute
"Paoli Dam,Anup Soni,Rahul Dev,Dipannita Sharma",Avinash Das,,2021-04-16,2021,Raat Baaki Hai
"Sunny Sachdeva,Ankita Chouhan,Armaan Sandhu,Ankita Sahu,Arjun Fauzdar,Namish Anand,Amanda Bhogal,Yash Gulati",Narendra Singh,,2021-05-01,2021,B.A. Pass 3
"Suvinder Vicky,Lakshvir Saran",Ivan Ayr,,2021-05-07,2021,Meel Patthar
"Zareen Khan,Anshuman Jha,Gurfateh Pirzada,Jahnvi Rawat,Denzil Smith",Harish Vyas,,2021-05-09,2021,Hum Bhi Akele Tum Bhi Akele
"Salman Khan,Disha Patani,Jackie Shroff,Randeep Hooda,Megha Akash",Prabhu Deva,,2021-05-13,2021,Radhe
"Arjun Kapoor,Rakul Preet Singh,Neena Gupta,John Abraham,Aditi Rao Hydari,Soni Razdan,Kanwaljit Singh,Kumud Mishra",Kaashvie Nair,,2021-05-18,2021,Sardar Ka Grandson
"Kirti Kulhari,Medha Shankar,Nivedita Bhattacharya",Raj Singh Chaudhary,,2021-06-11,2021,Shaadisthan
"Rachel Sanchita Gupta,Shraddha Gaikwad,Amrit Maghera,Waheeda Rehman",Manjari Makijany,,2021-06-11,2021,Skater Girl
"Vidya Balan,Sharat Saxena,Mukul Chaddha,Vijay Raaz,Ila Arun,Brijendra Kala,Neeraj Kabi",Amit V. Masurkar,,2021-06-18,2021,Sherni
"Taapsee Pannu,Vikrant Massey,Harshvardhan Rane",Vinil Mathew,,2021-07-02,2021,Haseen Dillruba
"Tabu, Manoj Bajpayee, Annu Kapoor",Mukul Abhyankar,,2018-04-06,2018,Missing
"Varun Dhawan, Banita Sandhu, Gitanjali Rao",Shoojit Sircar,,2018-04-13,2018,October
"Prabhu Deva, Sananth Reddy, Remya Nambeesan",Karthik Subbaraj,,2018-04-13,2018,Mercury
"Shweta Tripathi, Shashank Arora, Rahul Kumar",Shlok Sharma,,2018-04-13,2018,Zoo
"Ishaan Khatter, Malavika Mohanan",Majid Majidi,,2018-04-20,2018,Beyond the Clouds
"Patralekhaa, Abhay Deol, Sapna Chaudhary",Faraz Haider,,2018-04-20,2018,Nanu Ki Jaanu
"Richa Chaddha, Aditi Rao Hydari, Rahul Bhat, Saurabh Shukla, Vipin Sharma, Vineet Kumar Singh, Dalip Tahil, Anurag Kashyap",Sudhir Mishra,,2018-04-27,2018,Daas Dev
"Anjali Patil, Karan Dave",M.M Shanklya,,2018-04-27,2018,Meri Nimmo
"Amitabh Bachchan, Rishi Kapoor",Umesh Shukla,,2018-05-04,2018,102 Not Out
Rajkummar Rao,Hansal Mehta,,2018-05-04,2018,Omerta
"Vicky Kaushal, Alia Bhatt",Meghna Gulzar,,2018-05-11,2018,Raazi
"Naseeruddin Shah, Sonali Kulkarni, Aamir Bashir",Sudip Bandyopadhyay,,2018-05-11,2018,Hope Aur Hum
"Aarav Negi, Goonj Chand, Azhar, Pihu Sharma, Dhiraj Singh",Dhiraj Singh,,2018-05-11,2018,Falooda
"Sumeet Vyas, Sonnalli Seygall, Mantra, Taaruk Raina, Priyanshu Painyuli, Kumud Mishra, Natasha Rastogi",Akash Khurana,,2018-05-18,2018,High Jack
"Vinay Pathak, Manoj Pahwa, Seema Pahwa, Dolly Ahluwalia, Sabah Kapoor",Harsh Chhaya,,2018-05-18,2018,Khajoor Pe Atke
"John Abraham, Diana Penty, Boman Irani",Abhishek Sharma,,2018-05-25,2018,Parmanu: The Story Of Pokhran
"Danny Denzongpa, Geetanjali Thapa, Tisca Chopra, Adil Hussain",Deb Medhekar,,2018-05-25,2018,Bioscopewala
"Kareena Kapoor, Sonam Kapoor, Swara Bhaskar, Shikha Talsania, Sumeet Vyas",Shashanka Ghosh,,2018-06-01,2018,Veere Di Wedding
"Harshvardhan Kapoor, Priyanshu Painyuli, Nishikant Kamat",Vikramaditya Motwane,,2018-06-01,2018,Bhavesh Joshi Superhero
"Jackie Shroff, Jimmy Sheirgill, Kay Kay Menon, Shriya Saran, Mahie Gill, Pankaj Tripathi",Karan Lalit Butani,,2018-06-01,2018,Phamous
"Anil Kapoor, Bobby Deol, Daisy Shah, Freddy Daruwala, Jacqueline Fernandez, Salman Khan, Saqib Saleem",Remo D'Souza,,2018-06-15,2018,Race 3
"Radhika Apte, Sanjay Kapoor, Kiara Advani, Vicky Kaushal, Neha Dhupia, Neil Bhoopalam, Bhumi Pednekar, Manisha Koirala, Akash Thosar","Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee",,2018-06-15,2018,Lust Stories
Ranbir Kapoor,Rajkumar Hirani,,2018-06-29,2018,Sanju
,Ezhil Vendan,,2018-07-06,2018,Hanuman vs Mahiravana
Shreyas Talpade,Jayprad Desai,,2022-04-01,2022,Kaun Pravin Tambe?
"Prateik Babbar,Neelay Mehendale,Anjali Sivaraman,Neil Bhoopalam,Anant V Joshi,Poornima Indrajith",Sachin Kundalkar,,2022-04-02,2022,Cobalt Blue
"Abhishek Bachchan,Yami Gautam,Nimrat Kaur",Tushar Jalota,,2022-04-07,2022,Dasvi
"Sunny Kaushal,Nushrratt Bharuccha,Vijay Varma",Nikhil Nagesh Bhat,,2022-04-08,2022,Hurdang
"Shahid Kapoor,Mrunal Thakur,Pankaj Kapur",Gowtam Tinnanuri,,2022-04-22,2022,Jersey
"Sidhant Gupta,Vedika Pinto,Sharad Kelkar,Bhumika Chawla,Kishor Kadam",Shashant Shah,,2022-04-22,2022,Operation Romeo
"Amitabh Bachchan,Ajay Devgn,Rakul Preet Singh,Boman Irani",Ajay Devgn,,2022-04-29,2022,Runway 34
"Tiger Shroff,Nawazuddin Siddiqui,Tara Sutaria",Ahmed Khan,,2022-04-29,2022,Heropanti 2
"Divyenndu,Anupriya Goenka,Anant Vidhaat,Inaamulhaq,Brijendra Kala",Faraz Haider,,2022-05-06,2022,Mere Desh Ki Dharti
"Anil Kapoor,Harshvardhan Kapoor,Fatima Sana Shaikh",Raj Singh Chaudhary,,2022-05-06,2022,Thar
"Ranveer Singh,Shalini Pandey,Boman Irani,Ratna Pathak Shah",Divyang Thakkar,,2022-05-13,2022,Jayeshbhai Jordaar
"Kartik Aaryan,Tabu,Kiara Advani",Anees Bazmee,,2022-05-20,2022,Bhool Bhulaiyaa 2
"Kangana Ranaut,Arjun Rampal,Divya Dutta",Razy Ghai,,2022-05-20,2022,Dhaakad
Ayushmann Khurrana,Anubhav Sinha,,2022-05-27,2022,Anek
"Ganesh Acharya,Ravi Kishan,Manoj Joshi,Rajesh Sharma,Remo D'Souza",Manoj Sharma,,2022-05-27,2022,Dehati Disco
"Riyaz Anwar,Ruchira Jadhav,Rohit Kokate,Neelam Kulkarni",Sudarshan Gamare,,2022-05-27,2022,Haemolymph
"Akshay Kumar,Sanjay Dutt,Sonu Sood,Manushi Chhillar",Chandraprakash Dwivedi,,2022-06-03,2022,Samrat Prithviraj
"Adivi Sesh,Sobhita Dhulipala,Saiee Manjrekar,Prakash Raj,Revathi",Sashi Kiran Tikka,,2022-06-03,2022,Major[a]
Nushrratt Bharuccha,Jai Basantu Singh,,2022-06-10,2022,Janhit Mein Jaari
"Rajpal Yadav,Rubina Dilaik",Palash Muchhal,,2022-06-10,2022,Ardh
"Abhimanyu Dassani,Shirley Setia,Shilpa Shetty",Sabbir Khan,,2022-06-17,2022,Nikamma
"Pankaj Tripathi,Neeraj Kabi,Sayani Gupta",Srijit Mukherji,,2022-06-24,2022,Sherdil
"Anil Kapoor,Neetu Kapoor,Varun Dhawan,Kiara Advani,Prajakta Koli,Manish Paul",Raj Mehta,,2022-06-24,2022,Jugjugg Jeeyo
"Vikrant Massey,Radhika Apte,Prachi Desai,Rohit Roy",Vishal Furia,,2022-06-24,2022,Forensic
"Aditya Roy Kapur,Sanjana Sanghi",Kapil Verma,,2022-07-01,2022,Rashtra Kavach Om
"Rajeev Khandelwal,Chelsie Preston Crayford,Usha Jadhav",Abhijit Deonath,,2019-01-04,2019,Salt Bridge
"Arjun Kapoor,Tabu,Konkona Sen Sharma,Radhika Madan,Kumud Mishra,Shardul Bhardwaj",Aasmaan Bhardwaj,,2023-01-13,2023,Kuttey
"Rahul Bose, Ayesha Dharker, Mandira Bedi",Sanjay Jha,drama,2009-01-02,2009,Mumbai Chakachak[2]
"Shah Rukh Khan, Fardeen Khan, Sushmita Sen, Ishita Sharma, Tara Sharma, Anushka Manchanda, Mohit Chadda, Vivek Vaswani, Johnny Lever",Muddassar Aziz,romantic comedy,2010-01-08,2010,Dulha Mil Gaya
"Rani Mukherjee, Vidya Balan",Raj Kumar Gupta,social thriller,2011-01-07,2011,No One Killed Jessica
"Arshad Warsi, Soha Ali Khan, Javed Jaffrey, Vijay Raaz",Samir Tiwari,comedy,2014-01-03,2014,Mr Joe B. Carvalho
"Paresh Rawal, Rajeev Khandelwal, Tina Desai",Aditya Datt,"thriller,drama",2013-01-04,2013,Table No. 21
"Vinod Khanna, Abhishek Bachchan, Bipasha Basu, Sonam Kapoor, Bobby Deol, Neil Nitin Mukesh, Sikander Kher, Omi Vaidya, Johnny Lever, Vyacheslav Razbegaev[3]",Abbas–Mustan,"action,thriller",2012-01-06,2012,Players
"Nawazuddin Siddiqui,Aakshath Das,Shweta Basu Prasad,Nassar,Indira Tiwari",Sudhir Mishra,,2020-10-02,2020,Serious Men
"Raghav Juyal,Abhishek Chauhan,Sanjay Mishra,Ram Kapoor,Nidhi Singh,Namit Das,Flora Saini",Ashish R Shukla,,2020-10-02,2020,Bahut Hua Samman
"Yami Gautam,Vikrant Massey",Puneet Khanna,,2020-10-09,2020,Ginny Weds Sunny
"Dev Chauhan,Pankaj Uniyal",Rohit Arora,,2020-10-16,2020,The Pickup Artist
"Saqib Saleem,Shweta Basu Prasad",Nachiket Samant,,2020-10-21,2020,Comedy Couple
"Mita Vasisht,Mayur More,Amit Bimrot",Gajendra Shrotriya,,2020-10-23,2020,Kasaai
"Pulkit Samrat,Kriti Kharbanda,Jim Sarbh,Harshvardhan Rane,Zoa Morani,Sanjeeda Sheikh,Abhimanyu Singh,Ankur Rathee",Bejoy Nambiar,,2020-10-29,2020,Taish
"Shabana Azmi,Satyadeep Mishra,Riva Arora,Sanjeeda Sheikh",Terrie Samundra,,2020-10-30,2020,Kaali Khuhi
"Dipannita Sharma,Boloram Das,Baharul Islam,Ravi Sarma,Monuj Borkotoky",Ratan Sil Ram,,2020-11-06,2020,Pepper Chicken
"Akshay Kumar,Kiara Advani",Raghava Lawrence,,2020-11-09,2020,Laxmii
"Abhishek Bachchan,Rajkummar Rao,Aditya Roy Kapur,Fatima Sana Shaikh,Sanya Malhotra,Pankaj Tripathi,Rohit Suresh Saraf,Pearle Maaney,Asha Negi,Inayat Verma,Shalini Vats",Anurag Basu,,2020-11-12,2020,Ludo
"Rajkummar Rao,Nushrat Bharucha",Hansal Mehta,,2020-11-13,2020,Chhalaang
"Anmol Chopra,Christeena,Biju Rehana Khan",Hidayat Khan,,2020-11-13,2020,Namumkin Tere Bin Jeena
"Tillotama Shome,Vivek Gomber",Rohena Gera,,2020-11-13,2020,Sir
"Manoj Bajpayee,Diljit Dosanjh,Fatima Sana Shaikh",Abhishek Sharma,,2020-11-15,2020,Suraj Pe Mangal Bhari
"Nawazuddin Siddiqui,Ananya Chatterjee,Pankaj Tripathi,Niharika Singh",Buddhadeb Dasgupta,,2020-11-20,2020,Anwar Ka Ajab Kissa
"Sharib Hashmi,Sharad Kelkar,Flora Saini,Rasika Dugal",Bipin Nadkarni,,2020-12-04,2020,Darbaan
"Bhumi Pednekar,Arshad Warsi,Jisshu Sengupta,Mahie Gill,Karan Kapadia",G. Ashok,,2020-12-11,2020,Durgamati
"Kiara Advani,Aditya Seal",Abir Sengupta,,2020-12-11,2020,Indoo Ki Jawani
"Adil Hussain,Rajshri Deshpande,Sandhya Mridul",Vijay Jayapal,,2020-12-11,2020,Nirvana Inn
"Sanjay Dutt,Nargis Fakhri,Rahul Dev,Gavie Chahal,Rahul Mittra,Pransh Chopra",Girish Malik,,2020-12-11,2020,Torbaaz
"Shardul Bharadwaj,Mahender Nath,Nutan Sinha,Shashi Bhushan,Naina Sareen",Prateek Vats,,2020-12-18,2020,Eeb Allay Ooo!
"Tanmay Ssingh,Musskan Sethi,Rahul Roy,Yograj Singh,Upasana Singh","Nitin Kumar Gupta,Abhay Singhal",,2020-12-18,2020,Sayonee
"Kulbhushan Kharbanda,Jagdeep,Shweta Bhardwaj,Seema Azmi,Abhay Joshi,Ishtiyak Khan,Zakir Hussain,Om Puri",Ranjeet Gupta,,2020-12-18,2020,Omprakash Zindabad
"Gulshan Devaiah,Sumeet Vyas,Saiyami Kher,Richa Chadda,Abhishek Banerjee,Ratna Pathak Shah,Ishwak Singh","Raj & D.K,Nitya Mehra,Nikkhil Advani,Tannishtha Chatterjee,Avinash Arun",,2020-12-18,2020,Unpaused
"Anil Kapoor,Anurag Kashyap",Vikramaditya Motwane,,2020-12-24,2020,AK vs AK
"Varun Dhawan,Sara Ali Khan",David Dhawan,,2020-12-25,2020,Coolie No. 1
"Richa Chadda,Pankaj Tripathi,Rajeev Pillai",Indrajit Lankesh,,2020-12-25,2020,Shakeela
"Saif Ali Khan, Padmapriya Janakiraman & Dhanish Karthik",Raja Krishna Menon,comedy,2017-10-06,2017,Chef
"Rajpal Yadav, Sudha Chandran, Bharati Sharma, Milind Gunaji",Arvind Tripathi,social drama,2017-10-06,2017,Babuji Ek Ticket Bambai
"Gulshan Grover, Rahul Dev, Afiq Muiz, Chacha Maembong, Farida Jalal",Arjin Uppal,action,2017-10-06,2017,Main Terrorist Nahi Hoon
"Jimmy Sheirgill, Taaha Shah & Himansh Kohli",Sattwik Mohanty,"drama,thriller",2017-10-13,2017,Ranchi Diaries
"Zaira Wasim, Meher Vij & Aamir Khan",Advait Chandan,musical drama,2017-10-19,2017,Secret Superstar
"Ajay Devgn, Parineeti Chopra, Tabu, Arshad Warsi, Tusshar Kapoor, Shreyas Talpade, Kunal Khemu, Prakash Raj, Rohit KaduDeshmukh and Neil Nitin Mukesh",Rohit Shetty,comedy,2017-10-20,2017,Golmaal Again
"Kalki Koechlin, Richa Chaddha",Howard Rosemeyer,road film,2017-10-27,2017,Jia aur Jia
"Manoj Bajpayee, Smita Tambe, Kumud Mishra, Adarsh Gourav",Atanu Mukherjee,drama,2017-10-27,2017,Rukh
"Sidharth Malhotra, Sonakshi Sinha & Akshaye Khanna",Abhay Chopra,thriller,2017-11-03,2017,Ittefaq
"Siddharth, Andrea Jeremiah & Atul Kulkarni",Milind Rau,horror,2017-11-03,2017,The House Next Door
"Kalki Koechlin, Sumeet Vyas, Hitesh Malhan",Rakhee Sandilya,drama,2017-11-03,2017,Ribbon
"Rajkummar Rao, Kriti Kharbanda",Ratnaa Sinha,"romance,drama",2017-11-10,2017,Shaadi Mein Zaroor Aana
"Irrfan Khan, Parvathy, Brijendra Kala",Tanuja Chandra,"romance,comedy",2017-11-10,2017,Qarib Qarib Singlle
"Amit Kumar Vashisth, Teena Singh & Preeti Sharma",VK Choudhary,suspense thriller,2017-11-10,2017,The Window
"Zareen Khan, Gautam Rode, Abhinav Shukla, Mohit Madaan",Ananth Narayan Mahadevan,thriller,2017-11-17,2017,Aksar 2
"Amitosh Nagpal, Anuradha Mukherjee & Yashpal Sharma",Prem Prakash Modi,romantic comedy,2017-11-17,2017,Panchlait
Vidya Balan & Manav Kaul,Suresh Triveni,"social,comedy",2017-11-17,2017,Tumhari Sulu
"Himansh Kohli, Priya Banerjee",Naresh Lalwani,romantic drama,2017-11-17,2017,Dil Jo Na Keh Saka
"Nishigandha Wad, Mehul Buch, Sudhir Pandey",Premraaj,action,2017-11-17,2017,A Daughter's Tale Pankh
"Raai Laxmi, Ravi Kishan & Aditya Srivastava",Deepak Shivdasani,erotic thriller,2017-11-24,2017,Julie 2
"Sudhir Pandey, Sushma Deshpande",Devashish Makhija,drama,2017-11-24,2017,Ajji
"Sanjay Mishra, Ranvir Shorey, Tillotama Shome, Bupesh Singh, Ekta Sawant",Nila Madhab Panda,"drama,disaster",2017-11-24,2017,Kadvi Hawa
"Tanima Bhattacharya, Chetan Sharma, Harish Hariaudh",Dedipya Joshii,drama,2017-11-28,2017,Saankal
Arbaaz Khan & Sunny Leone,Raajeev Waalia,romantic thriller,2017-12-01,2017,Tera Intezaar
"Kapil Sharma, Varun Badola & Edward Sonnenblick",Rajiv Dhingra,comedy,2017-12-01,2017,Firangi
"Pulkit Samrat, Priya Anand, Ali Fazal, Varun Sharma",Mrighdeep Singh Lamba,comedy,2017-12-08,2017,Fukrey Returns
"Rajesh Sharma, Yashpal Sharma, Gurleen Chopra",Paresh Vinodray Savani,"suspense,thriller",2017-12-08,2017,Game Over
"Zeenat Aman, Kiran Kumar, Asrani, Kshayp, Arshin and Sandeep Anand",Mohammad Israr Ansari,comedy drama,2017-12-08,2017,Sallu Ki Shaadi
"Nawazuddin Siddiqui, Vijay Varma & Tannishtha Chatterjee",Amit Kumar,"crime,thriller",2017-12-15,2017,Monsoon Shootout
Salman Khan & Katrina Kaif,Ali Abbas Zafar,"action,drama",2017-12-22,2017,Tiger Zinda Hai
"Irrfan Khan, Konkona Sen Sharma, Tabu",Meghna Gulzar,thriller,2015-10-02,2015,Talvar
"Aishwarya Rai Bachchan, Irrfan Khan, Shabana Azmi",Sanjay Gupta,"action,drama",2015-10-09,2015,Jazbaa
"Rajpal Yadav, Zakir Hussain, Subrat Dutta, Rushad Rana",Irshad Khan,comedy,2015-10-16,2015,Bumper Draw
"Faisal Khan, Inayat Sharma, Dalip Tahil, Shahbaz Khan",Sharique Minhaj,"romantic,drama",2015-10-16,2015,Chinar Daastaan-E-Ishq
"Kartik Aaryan, Nushrat Bharucha, Sonnalli Seygall, Omkar Kapoor",Luv Ranjan,comedy,2015-10-16,2015,Pyaar Ka Punchnama 2
"Anushka Ranjan, Diganth Manchale, Karan Grover, Rishi Kapoor, Sonnalli Seygall",Binod Pradhan,comedy,2015-10-16,2015,Wedding Pullav
"Shahid Kapoor, Alia Bhatt, Pankaj Kapur",Vikas Bahl,"romance,comedy",2015-10-22,2015,Shaandaar
